Comment,Designator,Description,Package,Quantity

"5012","3.3V, SCL, SDA","Test Point, White, Through Hole, RoHS, Bulk","","3"
"5010","12V","Test Point, Red, Through Hole, RoHS, Bulk","","1"
"UUX2A470MNL1GS","C1","Aluminum Electrolytic Capacitor, 47 uF, +/- 20%, 100 VDC, -55 to 105 degC, 2-Pin SMD, RoHS, Tape and Reel","","1"
"CC0805KKX7R7BB334","C2","Surface Mount Ceramic Multilayer Capacitor 0.33uF 10% X7R 16V 0805 Blister T/R","CC0805-0.85","1"
"C0603X104K5RACTU","C3, C6, C8, C12, C13, C14, C15, C16, C17, C18, C19, C22, C23, C25, C27, C28, C29, C32, C35, C36, C37, C38","","","22"
"C0603C225K4PACTU","C4, C5","CAP CER 2.2UF 16V X5R 0603","","2"
"CL10A105KA8NNNC","C7, C9, C10","Cap Ceramic 1uF 25V X5R ±10% Pad SMD 0603 +85°C T/R","","3"
"C1005X5R1A475K050BC","C11","CAP CER 4.7UF 10V X5R 0402","","1"
"06035A160JAT2A","C20, C21","","","2"
"C0805C104K5RACTU","C24A, C24B","","","2"
"CC0603KRX7R9BB103","C26","CAP CER 10000PF 50V X7R 0603","CC0603-DA","1"
"T491B106K025AT","C30","CAP TANT 10UF 10% 25V 1411","","1"
"TAJR104K020RNJ","C31, C33, C34","","","3"
"RCLAMP3354S.TCT","D1, D2","TVS Diode (Bi-directional)","","2"
"PESD2CANFD24V-TR","D3A, D3B","TVS DIODE 24VWM 42VC TO236AB","","2"
"ESDA7P60-1U1M","D4","TVS DIODE 5V 11.6V 1610","1610","1"
"HSMG-C170","DS1, DS2, DS3","Chip LED, Green, 2.2 V, -40 to 85 degC, 2-Pin SMD, Pb-Free, Tape and Reel","","3"
"0466.200NR","F1","FUSE BOARD MNT 200MA 125VAC/VDC","","1"
"5011","GND","Test Point, Black, Through Hole, RoHS, Bulk","","1"
"BMI088","IC1","Integrated Circuit","","1"
"DP83848CVV","IC2","Integrated Circuit","","1"
"502352-0800","J1","CONN HEADER SMD R/A 8POS 2MM","","1"
"RJE59-188-54A1","J2","Connector","","1"
"776267-1","J3","Connector","","1"
"MEM2067-02-180-00-A","J4","Connector","","1"
"2172034-1","J5","Connector","","1"
"CRCW0201143RFNED","R1, R40","","","2"
"CRCW12062K00JNEA","R2, R3","RES Thick Film, 2kO, 5%, 0.25W, 200ppm/°C, 1206","","2"
"RC0603JR-0710KL","R4, R48","Resistor, 10 KOhm, +/- 5%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","","2"
"CR0402-FX-1211GLF","R5","","","1"
"RC0805JR-100RL","R6, R8, R9, R11, R12","Chip Resistor, 0 Ohm, +/- 5%, 125 mW, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","","5"
"CRCW060350R0FKEA","R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R26, R27, R28, R29, R33, R34, R36, R37","RES Thick Film, 50O, 1%, 0.1W, 100ppm/°C, 0603","","18"
"RT1206DRE07100KL","R24","RES SMD 100K OHM 0.5% 1/4W 1206","RT1206","1"
"KTR18EZPF1501","R25","Res Thick Film 1206 1.5kO 1% 0.1W ±100ppm/°C Automotive Paper T/R","","1"
"RC0603FR-072K2L","R30, R31, R39","Thick Film Resistor, 2.2 KOhm, 100 mW, 50 V, +/- 1%, -55 to 155 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","","3"
"CRCW06034K87FKEAHP","R32","RES Thick Film, 4.87kO, 1%, 0.33W, 100ppm/°C, 0603","","1"
"CRCW0603750RJNEA","R35, R38","","","2"
"RC0805FR-07487RL","R41","","","1"
"RK73H2BTTD4702F","R42, R43, R44, R45, R46","","","5"
"CRCW080520K0JNEB","R47","RES Thick Film, 20kO, 5%, 0.125W, 200ppm/°C, 0805","","1"
"PTS645SM43SMTR92LFS","SW1","SWITCH TACTILE SPST-NO 0.05A 12V","","1"
"UA78M33CKVURG3","U1","IC REG LINEAR 3.3V 500MA TO252-3","KVU0003A","1"
"STM32F417VGT6TR","U2","RISC Microcontroller, 32-Bit, FLASH, CORTEX-M4 CPU, 168MHz, CMOS, PQFP100","","1"
"SN65HVD234D","U3A, U3B","3.3V CAN Transceiver with Sleep Mode, 6 mA, -40 to 125 degC, 8-pin SOIC (D), Green (RoHS & no Sb/Br)","","2"
"H2019FNL","U4","Telecom Transformer, 100BASE-TX, 0 to 70 degC, 16-Pin SMD, RoHS","","1"
"ABM3-8.000MHZ-D2Y-T","Y1","Crystal 8MHz ±20ppm 18pF SMD-2 5mm x 3.2mm","","1"
"ASE-25.000MHZ-LC-T","Y2","XTAL Oscillator 25MHz ±50ppm CMOS 3.3V 4-SMD 3.2mm x 2.5mm","","1"
